V 0.0.0.1 - VARIABLES,COMMENTS,en,fr,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_FFL_ERROR_OCCURED__MSG,This variable stores the message that gives the location of an error for the arguments controller functions,"The error occured in the %s file, in the %s function, on line %s, during the checking of the %s function","L'erreur s'est produite dans le fichier %s, dans la fonction %s, à la ligne %s, pendant la vérification de la fonction %s",,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_NEEDS_ONE_ARG,This variable stores the message that ,THE FUNCTION %s NEEDS AN ARGUMENT,LA FONCTION %s A BESOIN D'UN ARGUMENT,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_NEEDS_ONE_ARG__ADVICE,This variable stores the message that ,Please pass only one argument to the %s function,Veuillez ne passer qu'un seul argument à la fonction %s,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_NEEDS_MULTIPLE_ARGS,This variable stores the message that ,THE FUNCTION %s NEEDS %s ARGUMENTS,LA FONCTION %s A BESOIN DE %s ARGUMENTS,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_NEEDS_MULTIPLE_ARGS__ADVICE,This variable stores the message that ,Please pass %s arguments to the %s function,Veuillez passer %s arguments à la fonction %s,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_HAS_NOT_ENOUGH_ARGS,This variable stores the message that ,THE FUNCTION %s HAS NOT ENOUGH ARGUMENTS,LA FONCTION %s N'A PAS ASSEZ D'ARGUMENTS,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_HAS_NOT_ENOUGH_ARGS__ADVICE,This variable stores the message that ,Please pass %s more arguments to the %s function,Veuillez passer %s arguments supplémentaires à la fonction %s,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_HAS_TOO_MUCH_ARGS,This variable stores the message that ,THE FUNCTION %s HAS TOO MUCH ARGUMENTS,LA FONCTION %s A TROP D'ARGUMENTS,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_HAS_TOO_MUCH_ARGS__ADVICE,This variable stores the message that ,Please remove %s arguments to the %s function,Veuillez retirer %s arguments à la fonction %s,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_ARGC_NOT_POS_INT,This variable stores the message that ,"THE $p_funcname FUNCTION'S ARGUMENT COUNTER $(BU.Main.Decho.Decho.Var ""$(echo -n '$')p_argcount"") PARAMETER'S VALUE IS NOT A POSITIVE INTEGER",,,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_ARGC_NOT_POS_INT__ADVICE,This variable stores the message that ,"The function %s first argument %s's value needs to be an integer, since it is an argument counter","À la fonction %s, la valeur du premier argument %s doit être un nombre entier, vu qu'il s'agit d'un compteur d'arguments",,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_AWAITED_ARGC_NOT_POS_INT,This variable stores the message that ,THE %s FUNCTION'S AWAITED ARGUMENTS COUNTER %s PARAMETER'S VALUE IS NOT A POSITIVE INTEGER,"À LA FONCTION %s, LA VALEUR DU PARAMÈTRE DE COMPTAGE D'ARGUMENTS ATTENDUS N'EST PAS UN NOMBRE ENTIER POSITIF",,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_AWAITED_ARGC_NOT_POS_INT__ADVICE,This variable stores the message that ,"The function %s second argument %s's value needs to be an integer, since it is an argument limit","À la fonction %s, la valeur du deuxième argument %s doit être un nombre enier, vu qu'il s'agit d'une limite d'arguments",,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_ARGC_EMPTY,This variable stores the message that ,THE %s FUNCTION'S %s PARAMETER HAS NO VALUE,"À LA FONCTION %s, LE PARAMÈTRE %s N'A PAS DE VALEUR",,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_ARGC_EMPTY__ADVICE,This variable stores the message that ,"The function %s first argument %s's value needs to be an integer, since it is an argument counter","À la fonction %s, la valeur du premier argument %s doit être un nombre entier, vu qu'il s'agit d'un compteur d'arguments",,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_AWAITED_ARGC_EMPTY,This variable stores the message that ,THE %s FUNCTION'S %s PARAMETER HAS NO VALUE,"À LA FONCTION %s, LE PARAMÈTRE %s N'A PAS DE VALEUR",,,
__BU_MAIN_ARGS_LIB__MSG__ARGC__FUNCTION_AWAITED_ARGC_EMPTY__ADVICE,This variable stores the message that ,"The function %s second argument %s's value needs to be an integer, since it is an argument limit","À la fonction %s, la valeur du deuxième argument %s doit être un nombre enier, vu qu'il s'agit d'une limite d'arguments",,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__CHECKINGS__CheckProjectRelatedFile__P_PARENT__Z,This variable stores the message that ,The function %s needs a folder path passed as first argument to work properly (mandatory argument),La fonction %s a besoin d'une chemin de dossier passé en premier argument pour pouvoir fonctionner correctement (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__CHECKINGS__CheckProjectRelatedFile__P_CHILD__Z,This variable stores the message that ,The function %s needs a file OR folder name passed as second argument to work properly (mandatory argument),La fonction %s a besoin d'un nom de dossier OU de fichier passé en second argument pour pouvoir fonctionner correctement (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__CHECKINGS__CheckProjectRelatedFile__P_TYPE__Z,This variable stores the message that ,The function %s needs a type of data ('d' or 'f') passed as third argument to work properly (mandatory argument),La fonction %s a besoin d'un type de donnée ('d' ou 'f') passé en troisième argument pour pouvoir fonctionner correctement (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__CHECKINGS__CheckProjectRelatedFile__P_TYPE__DF,This variable stores the message that ,You need to precise if what you want to create is a directory or a file (mandatory argument),Vous devez préciser si ce que vous souhaitez créer est un dossier ou un fichier (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__CMDS__GetCommandPath__P_CMD__Z,This variable stores the message that ,You must specify the name of the command whose path you want to know (mandatory argument),Vous devez spécifier le nom de la commande dont vous voulez connaître le chemin (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DECHO__Decho__P_NEW_BG_COLOR__INTPOS,This variable stores the message that ,"Please pass a positive integer as text color code, as second argument for the %s function (optional argument)","Veuillez passer un nombre entier positif à la fonction %s en second argument, en tant que code couleur de fond (argument optionnel)",,,
__BU_MAIN_ARGS_LIB__MSG__DECHO__Decho__P_NEW_TEXT_COLOR__INTPOS,This variable stores the message that ,"Please pass a positive integer as background color code, as second argument for the %s function (optional argument)","Veuillez passer un nombre entier positif à la fonction %s en troisième argument, en tant que code couleur de fond (argument optionnel)",,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__ProcessingDir__P_FUNCTION__Z,This variable stores the message that ,Please pass a function's name as first argument (mandatory argument),Veuillez passer un nom de fonction comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__ProcessingDir__P_PARENT__Z,This variable stores the message that ,Please pass a valid parent directory path as second argument (mandatory argument),Veuillez passer un chemin de répertoire parent valide comme deuxième argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__ProcessingDir__P_NAME__Z,This variable stores the message that ,Please pass the name of the folder to process as third argument (mandatory argument),Veuillez passer le nom du dossier à traiter comme troisième argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__OverwriteDir__P_PATH__Z,This variable stores the message that ,Please pass the path of the directory to overwrite as argument (mandatory argument),Veuillez passer le chemin du répertoire à écraser comme argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__OverwriteDir__P_PATH__D,This variable stores the message that ,Please pass the correct path of the directory to overwrite as argument (mandatory argument),Veuillez passer le chemin correct du répertoire à écraser comme argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__Make__P_PARENT__Z,This variable stores the message that ,Please pass the path of the new directory's parent folder as first argument (mandatory argument),Veuillez passer le chemin du dossier parent du nouveau répertoire comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__Make__P_PARENT__D,This variable stores the message that ,Please pass a valid parent directory path as first argument (mandatory argument),Veuillez passer un chemin de répertoire parent valide comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__Make__P_NAME__Z,This variable stores the message that ,Please pass the name of the directory to create as second argument (mandatory argument),Veuillez passer le nom du répertoire à créer comme deuxième argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__MakePath__P_PATH__Z,This variable stores the message that ,Please pass the full path of the directory to create as first argument (mandatory argument),Veuillez passer le chemin complet du répertoire à créer comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__MakePath__P_OVERWRITE__,This variable stores the message that ,Please pass the valid string %s that allows overwriting the %s directory (optional argument),Veuillez passer la chaîne de caractères valide %s qui permet d'écraser le répertoire %s (argument facultatif),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetDirectoryName__P_PATH__Z,This variable stores the message that ,The %s function takes a directory path as argument (mandatory argument),La fonction %s prend un chemin de dossier comme argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetDirectoryPath__P_PATH__Z,This variable stores the message that ,The %s function takes a directory path as argument (mandatory argument),La fonction %s prend un chemin de dossier comme argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetParentDirectoryName__P_PATH__Z,This variable stores the message that ,Please pass the path of the directory to overwrite as argument (mandatory argument),Veuillez passer le chemin du répertoire à écraser comme argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetParentDirectoryPath__P_PATH__Z,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetParentDirectoryPath__P_ITERATIONS__INTPOS,,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetDirectoryPath__P_PATH__Z,This variable stores the message that ,Please pass the path of the directory to overwrite as argument (mandatory argument),Veuillez passer le chemin du répertoire à écraser comme argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__DIRECTORIES__GetDirectoryPath__P_ITERATIONS__INTPOS,This variable stores the message that ,Please pass a positive integer as number of iterations (mandatory argument),Veuillez passer un nombre entier positif comme compteur d'itérations (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__ERRORS__SetLastReturnValue__P_CODE__Z,This variable stores the message that ,"Please pass a valid integer value, from %s to %s, as function return code (mandatory argument)","Veuillez passer une valeur entière valide, de %s à %s, comme code de retour de la fonction (argument obligatoire)",,,
__BU_MAIN_ARGS_LIB__MSG__ERRORS__SetLastReturnValue__P_CODE__INTPOS,This variable stores the message that ,"Please pass a valid integer value, from %s to %s, as function return code (mandatory argument)","Veuillez passer une valeur entière valide, de %s à %s, comme code de retour de la fonction (argument obligatoire)",,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__ProcessingFile__P_FUNCTION__Z,This variable stores the message that ,Please pass a valid file processing function as first argument (mandatory argument),Veuillez passer une fonction de traitement de fichier valide comme premier argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__OverwriteFile__P_PATH__Z,This variable stores the message that ,Please pass the path of the directory to overwrite as first argument (mandatory argument),Veuillez passer le chemin du répertoire à écraser comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__FILES__OverwriteFile__P_PATH__D,This variable stores the message that ,Please pass the correct path of the directory to overwrite as first argument (mandatory argument),Veuillez passer le chemin correct du répertoire à écraser comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__FILES__OverwriteFile__P_AUTHORIZATION__Z,This variable stores the message that ,Please enter a valid value for the overwrite authorization as second argument (mandatory argument),Veuillez entrer une valeur valide pour l'autorisation d'écrasement comme deuxième argument (argument obligatoire),,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__Make__P_PARENT__Z,This variable stores the message that ,Please pass the path of the new file's parent folder as first argument (mandatory argument),Veuillez passer le chemin du dossier parent du nouveau fichier comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__FILES__Make__P_PARENT__D,This variable stores the message that ,Please pass a valid parent directory path as first argument (mandatory argument),Veuillez passer un chemin de répertoire parent valide comme premier argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__FILES__Make__P_NAME__Z,This variable stores the message that ,Please pass the name of the file to create as second argument (mandatory argument),Veuillez passer le nom du fichier à créer comme deuxième argument (argument obligatoire),,,
__BU_MAIN_ARGS_LIB__MSG__FILES__Make__P_NAME__FS_MAX_SIZE_TOO_LONG,This variable stores the message that ,THE FILE NAME IS TOO LONG FOR THIS FILESYSTEM,LE NOM DU FICHIER EST TROP LONG POUR CE SYSTÈME DE FICHIERS,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__Make__P_NAME__FS_MAX_SIZE_TOO_LONG__ADVICE,This variable stores the message that ,Please give a name length smaller than %s bytes,Veuillez indiquer une longueur de nom inférieure à %s octets.,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__MakePath__P_PATH_Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__SetLastAccess__P_FILEPATH__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__SetLastAccess__P_FILEPATH__F,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__SetLastAccess__P_FAKEDATE__Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressCMD__P_CMD__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressCMD__P_CMD__CMDSTR,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressCMD__P_NAME__Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressFormat__P_CMD__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__CompressFormat__P_NAME__Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressCMD__P_CMD__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressCMD__P_CMD__CMDSTR,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressCMD__P_NAME__Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressFormat__P_FORM__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILES__UncompressFormat__P_NAME__Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__IsPartitionFull__P_FILEFS__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__IsPartitionFull__P_FILEFS__DF,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__GetFSInfos__P_PATH__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__GetFSInfos__P_PATH__DF,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_CURRENT_OWNER__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_NEW_OWNER__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_PATH__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__Chown__P_PATH__DF,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_CURRENT_OWNER__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_NEW_OWNER__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_PATH__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__FILESYSTEM__ChownRec__P_PATH__DF,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__ALPHANUMCHAR,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutBeforeAndAfterFirstAndLastDelims__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutBeforeAndAfterFirstAndLastDelims__P_DELIMITER__Z,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringAfterNthDelim__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringAfterNthDelim__P_DELIMITER__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringAfterNthDelim__P_ITERATIONS__INTPOS,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringBeforeNthDelim__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringBeforeNthDelim__P_DELIMITER__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__CutSubStringBeforeNthDelim__P_ITERATIONS__INTPOS,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__DeleteLettersInString__,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetCharacterOccurences__P_TARGET__GT_1,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringAfterDelim__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringAfterDelim__P_DELIM__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringAfterDelim__P_ITERATIONS__INTPOS,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringBeforeDelim__P_TARGET__P_STRING__Z,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__TEXT__GetSubStringBeforeDelim__P_TARGET__P_DELIM__Z,This variable stores the message that ,,,,,
